"lemmatized_Ru1" "lemmatized_Ru2" "lemmatized_Ru3" "lemmatized_Ru4" "lemmatized_Ru5" "rs-graphics-3586a42c-a647-4324-9de9-bdea3dd2b3bb"
"долго" 0.0292661932429524 0.061705541157596 0.0642804509038458 0.0377741322742186 0.0492157576016947 0
"правда" 0.0318485044114482 0.0575918384137562 0.0611448191524387 0.0474874805733034 0.0406564954100957 0
"довольно" 0.0550893049279105 0.0329096219507178 0.0407632127682925 0.0312985667414954 0.0534953886974943 0
"пройти" 0.0361523563589413 0.045250730182237 0.0376275810168854 0.0518045242617855 0.0524254809235444 0
"убить" 0.0361523563589413 0.0575918384137562 0.0360597651411818 0.0442496978069418 0.0534953886974943 0
"успеть" 0.0482031418119217 0.0514212842979966 0.0423310286439961 0.034536349507857 0.047075942053795 0
"джима" 0.0447600602539273 0.0534781356699165 0.0595770032767352 0.0334570885857365 0.037446772088246 0
"идти" 0.0576716160964063 0.030852770578798 0.0250850540112569 0.0356156104299776 0.0545652964714442 0
"хоть" 0.0309877340219496 0.0205685137191987 0.0297885016383676 0.0572008288723882 0.0674041897588428 0
"сойер" 0.0378738971379385 0.0534781356699165 0.0344919492654783 0.0464082196511829 0.0481458498277448 0
"ко" 0.0714439423283839 0.0329096219507178 0.0313563175140711 0.0269815230530133 0.0363768643142961 0
"продолжать" 0.0542285345384119 0.061705541157596 0.0595770032767352 0.0442496978069418 0.00641944664369931 0
"именно" 0.1230901656983 0.00822740548767946 0.0172459746327391 0.0118718701433259 0.00641944664369931 0
"плыть" 0.0404562083064343 0.0596486897856761 0.0423310286439961 0.0420911759627007 0.0353069565403462 0
"пора" 0.0731654831073811 0.0473075815541569 0.0297885016383676 0.0172681747539285 0.0342370487663963 0
"пять" 0.0387346675274371 0.0349664733226377 0.0407632127682925 0.0474874805733034 0.0460060342798451 0
"объявить" 0.128254788035292 0.0102842568595993 0.0188137905084427 0.00107926092212053 0.00641944664369931 0
"некоторый" 0.0697224015493867 0.0287959192068781 0.0250850540112569 0.0464082196511829 0.0192583399310979 0
